log_id,user_id,route_mode,start_location,end_location,start_lat,start_lon,end_lat,end_lon,total_distance_m,walking_distance_m,transport_modes,crosswalk_count,user_speed_factor,slope_factor,weather_factor,estimated_time_seconds,actual_time_seconds,time_difference_seconds,accuracy_percent,estimated_walk_time_seconds,walk_time_difference_seconds,walk_accuracy_percent,active_walking_time_seconds,paused_time_seconds,real_walking_speed_kmh,pause_count,weather_id,started_at,ended_at,created_at
76,21,walking,비기닝브레드,세이브존 노원점,37.626047,127.071735,37.636721,127.068431,1432.0,1432.0,,5,1.0,1.004,1.027,1524,1061,-463,69.62,1524,-553,63.71,971,90,5.29,3,,2025-12-05T08:10:50.307000,2025-12-05T08:28:31.565000,2025-12-05T08:28:32.182147
22,22,walking,군포시 산본동 1148,묘향롯데아파트 942동,37.362273,126.921143,37.363191,126.920321,129.0,79.53,,0,0.858,1.027,0.994,101,182,,,,,,94,130,3.06,1,,2025-12-01T09:13:06.173000,2025-12-01T09:16:08.602000,2025-12-01T09:16:07.789354
21,22,walking,군포시 궁내초.중학교,묘향롯데아파트,37.363542,126.920779,37.362319,126.921086,408.0,528.41,,0,0.858,0.993,0.994,310,618,,,,,,678,17,2.81,3,,2025-12-01T09:02:09.254000,2025-12-01T09:12:27.287000,2025-12-01T09:12:26.492614
20,22,walking,피자스쿨 산본궁내점,동성푸른별어린이집,37.361318,126.922889,37.363606,126.921382,336.0,391.11,,3,0.858,1.099,0.994,604,517,,,,,,510,0,2.77,0,,2025-12-01T08:51:31.360000,2025-12-01T09:00:08.654000,2025-12-01T09:00:07.899139
19,22,walking,동성푸른별어린이집,피자스쿨 산본궁내점,37.363606,126.921382,37.361318,126.922889,336.0,787.76,,3,0.858,0.919,0.994,551,348,,,,,,694,0,4.1,0,,2025-12-01T08:44:45.422000,2025-12-01T08:50:34.075000,2025-12-01T08:50:33.305281
25,23,walking,마포구 성산동 417-1,대명하이츠,37.567639,126.89882,37.55921,126.904092,1341.0,1430.3,,3,0.879,0.979,1.014,1435,1051,,,,,,856,265,6.01,18,,2025-12-01T12:18:11.389000,2025-12-01T12:35:42.412000,2025-12-01T12:35:42.676752
23,23,walking,마포구 망원동 474-15,홈플러스 월드컵점,37.561322,126.905035,37.568323,126.898591,1070.0,1731.91,,2,0.879,1.027,1.007,1139,963,,,,,,703,212,8.86,16,,2025-12-01T11:45:51.129000,2025-12-01T12:01:54.460000,2025-12-01T12:01:54.809679
27,24,transit,마포구 37-6,서울특별시청,37.559183,126.904061,37.566824,126.978652,8609.0,,"[""BUS""]",1,0.879,1.003,1.009,2146,5,,,,,,1,0,,0,,2025-12-01T17:28:05.842000,2025-12-01T17:28:10.943000,2025-12-01T17:28:11.097388
80,25,transit,상암DMC홍보관.YTN,대명하이츠,37.577458,126.891352,37.55921,126.904092,3098.0,250.0,"[""BUS""]",0,0.646,0.985,1.033,1035,1084,49,95.27,149,31,79.19,180,903,5.0,3,,2025-12-05T10:13:40.146000,2025-12-05T10:31:44.342000,2025-12-05T10:31:44.690707
63,25,transit,마포구 성산동 353-4,스타벅스 상암DMC점,37.564951,126.901944,37.577665,126.890927,2373.0,241.0,"[""BUS""]",2,0.646,1.008,1.033,664,913,249,62.5,235,-145,38.3,90,823,9.65,3,,2025-12-05T04:12:25.364000,2025-12-05T04:27:38.877000,2025-12-05T04:27:39.293082
62,25,transit,마포구 37,스타벅스 상암DMC점,37.559229,126.904244,37.577665,126.890927,3810.0,790.0,"[""BUS""]",3,0.605,1.018,1.033,1206,1093,-113,90.63,564,-28,95.04,536,556,5.29,6,,2025-12-05T03:52:00.686000,2025-12-05T04:10:13.802000,2025-12-05T04:10:14.161393
59,25,walking,마포구 망원동 8,대명하이츠,37.556557,126.908806,37.55921,126.904092,732.0,732.0,,1,1.0,1.001,1.124,782,2,-780,0.26,782,,,,1,,1,,2025-12-04T10:15:58.769000,2025-12-04T10:16:01.450000,2025-12-04T10:16:01.664759
58,25,walking,마포구 망원동 8,대명하이츠,37.556557,126.908806,37.55921,126.904092,732.0,732.0,,1,1.0,1.001,1.124,782,485,-297,62.02,782,-357,54.35,425,59,6.19,3,,2025-12-04T10:07:52.714000,2025-12-04T10:15:58.104000,2025-12-04T10:15:58.481138
57,25,walking,마포구 37,맥도날드 망원점,37.559346,126.904205,37.556097,126.909777,812.0,812.0,,1,0.612,0.999,1.061,506,583,77,84.78,506,-1,99.8,505,77,5.8,2,,2025-12-04T09:24:15.752000,2025-12-04T09:33:59.367000,2025-12-04T09:33:59.739679
56,25,transit,중구 장충단로,대명하이츠,37.557883,127.003254,37.55921,126.904092,15294.0,1866.0,"[""SUBWAY""]",3,0.657,0.964,1.014,2840,2980,140,95.07,1213,-303,75.02,910,2069,7.38,8,,2025-12-04T06:22:45.486000,2025-12-04T07:12:26.129000,2025-12-04T07:12:26.571028
52,25,transit,마포구 망원동 425-39,선미네마트,37.559211,126.904226,37.558683,126.996252,13123.0,1409.0,"[""SUBWAY""]",3,0.659,1.023,1.037,2337,2841,,,,,,880,1960,5.76,7,,2025-12-04T00:10:14.018000,2025-12-04T00:57:35.832000,2025-12-04T00:57:36.334063
50,25,walking,마포구 482-9,대명하이츠,37.558075,126.908045,37.55921,126.904092,550.0,619.49,,0,0.696,1.001,1.057,364,341,,,,,,338,0,5.87,1,,2025-12-03T16:22:01.237000,2025-12-03T16:27:42.434000,2025-12-03T16:27:42.781150
51,25,walking,마포구 482-9,대명하이츠,37.558075,126.908045,37.55921,126.904092,550.0,1564.05,,0,0.696,1.001,1.057,364,341,,,,,,340,0,5.83,0,,2025-12-03T16:22:01.237000,2025-12-03T16:27:42.651000,2025-12-03T16:27:42.895258
49,25,walking,마포구 19,힙댕,37.556034,126.903552,37.557639,126.908364,583.0,646.41,,1,0.696,0.993,1.057,382,379,,,,,,375,4,5.58,1,,2025-12-03T16:13:28.400000,2025-12-03T16:19:47.747000,2025-12-03T16:19:48.037422
48,25,walking,마포구 망원동 433-9,올웨이즈어거스트,37.558637,126.902096,37.55611,126.903519,451.0,417.35,,1,0.696,1.004,1.057,298,264,,,,,,262,2,6.19,1,,2025-12-03T16:08:10.942000,2025-12-03T16:12:35.088000,2025-12-03T16:12:35.426280
47,25,walking,마포구 망원제2동 472-1,탑건진선미아파트,37.562522,126.903313,37.561188,126.899653,393.0,670.33,,0,0.696,1.019,1.057,264,250,,,,,,226,18,6.26,4,,2025-12-03T15:55:33.534000,2025-12-03T15:59:43.989000,2025-12-03T15:59:44.377024
46,25,walking,대명하이츠,마포구청역 6호선 6번출구,37.55921,126.904092,37.562696,126.903352,580.0,542.16,,1,0.696,1.02,1.057,391,313,,,,,,296,17,7.06,2,,2025-12-03T15:48:29.276000,2025-12-03T15:53:42.747000,2025-12-03T15:53:43.174246
45,25,walking,망원동 472-2번지 A동 204호 마포구 서울특별시 KR,대명하이츠,37.562379,126.903619,37.55921,126.904092,465.0,471.16,,1,0.879,0.981,1.057,380,282,,,,,,307,86,6.7,4,,2025-12-03T14:16:52.284000,2025-12-03T14:21:34.558000,2025-12-03T14:21:34.978540
