lat,lng,red,green
37.6254645945,127.1120605011,125.0,25.0
37.6310278442,127.1175621443,117.0,33.0
37.6295601372,127.1160394224,117.0,33.0
37.6317643,127.1158593774,125.0,25.0
37.6045543,127.1417371,80.0,20.0
35.9557184,126.9600067,20.0,20.0
36.78815367,127.0825985,30.0,30.0
36.78825632,127.0826195,30.0,30.0
36.78826506,127.0829242,30.0,30.0
36.7883071,127.0830596,30.0,30.0
36.79165784,127.0788468,30.0,30.0
36.79165784,127.0788468,30.0,30.0
36.7917780531,127.0791816707,30.0,30.0
36.79194734,127.0790411673,30.0,30.0
37.6295601372,127.1160394224,115.0,35.0
37.6295601372,127.1160394224,115.0,35.0
37.6295601372,127.1160394224,125.0,25.0
37.6295601372,127.1160394224,125.0,25.0
37.6351803791,127.1197176285,115.0,35.0
36.77119805,127.081312,30.0,30.0
37.6295601372,127.1160394224,115.0,35.0
37.6295601372,127.1160394224,125.0,25.0
37.6295601372,127.1160394224,115.0,35.0
37.6295601372,127.1160394224,125.0,25.0
37.58793146,127.1432542,120.0,30.0
37.58720115,127.1427423,120.0,30.0
37.6012359,127.1413721,151.0,29.0
37.60191483,127.1436575,151.0,29.0
37.60191483,127.1436575,150.0,30.0
37.5873584,127.1439195,120.0,30.0
37.5873584,127.1439195,120.0,30.0
37.60298411,127.145253,158.0,22.0
37.60298411,127.145253,143.0,35.0
37.60181883,127.1426541,40.0,31.0
37.602177,127.1435928,40.0,31.0
37.602177,127.1435928,40.0,31.0
37.58720115,127.1427423,120.0,30.0
37.60191483,127.1436575,39.0,32.0
37.60191483,127.1436575,39.0,32.0
37.6019944,127.1436575,39.0,32.0
37.6320170211,127.1216240586,130.0,20.0
37.58739466,127.1408379,120.0,30.0
37.59694656,127.1384792,65.0,15.0
37.58739466,127.1408634,120.0,30.0
37.60191483,127.1436575,157.0,20.0
37.60191483,127.1436575,157.0,20.0
37.657661,127.1211609,85.0,25.0
37.657661,127.1211609,85.0,25.0
37.64575459,127.1110636,85.0,25.0
37.64575459,127.1110636,85.0,25.0
37.65379678,127.1252656,90.0,25.0
37.65379678,127.1252656,90.0,25.0
37.65379678,127.1252656,90.0,25.0
37.65379678,127.1252656,90.0,25.0
37.65379678,127.1252656,90.0,25.0
37.65765731,127.1211609,85.0,25.0
37.65765731,127.1211609,85.0,25.0
37.65971498,127.1209634,90.0,25.0
37.65765731,127.1211609,85.0,25.0
37.65765731,127.1211609,85.0,25.0
37.662321,127.128305,74.0,29.0
37.662321,127.128305,74.0,29.0
37.660668,127.123818,74.0,29.0
37.660668,127.123818,74.0,29.0
35.9561677,126.959703,20.0,20.0
36.7878482,127.0826083,30.0,30.0
35.9561483,126.959703,20.0,20.0
35.8271098279,128.5068243476,130.0,30.0
35.82782,128.5064125858,130.0,30.0
35.8282267806,128.5079191784,130.0,30.0
35.9557184,126.9600782,20.0,20.0
37.59344011,127.1556808,130.0,19.0
37.60110094,127.1307277,150.0,30.0
36.8134998824,127.0688739991,30.0,30.0
36.8134998824,127.0688739991,30.0,30.0
36.81618531,127.0705966,30.0,30.0
36.78800967,127.083074,30.0,30.0
36.78786726,127.082746,30.0,30.0
36.8107263263,127.0632724526,30.0,30.0
36.8134998824,127.0688739991,30.0,30.0
36.8134998824,127.0688739991,30.0,30.0
36.8134998824,127.0688739991,30.0,30.0
37.6317075364,127.1158593774,125.0,25.0
37.6317354,127.1158593774,125.0,25.0
37.6317873,127.1158593774,125.0,25.0
37.6317075364,127.1158593774,125.0,25.0
37.63235538,127.1161203,125.0,25.0
37.63057906,127.1149822,125.0,25.0
35.8392876044,128.6839862095,120.0,20.0
35.8392876044,128.6839862095,120.0,20.0
35.8376978021,128.6837239258,146.0,34.0
35.8369446885,128.6834904497,146.0,34.0
35.83693,128.6834904497,153.0,27.0
35.83695,128.6834904497,146.0,34.0
35.8369446885,128.6834904497,153.0,27.0
35.8376978021,128.6837239258,153.0,27.0
35.8376978021,128.6837239258,153.0,27.0
35.8376978021,128.6837239258,146.0,34.0
35.8392876044,128.6839862095,120.0,20.0
35.8392876044,128.6839862095,120.0,20.0
35.8392876044,128.6839862095,124.0,16.0
35.8392876044,128.6839862095,124.0,16.0
35.8388346032,128.6834518478,119.0,21.0
35.8388346032,128.6834518478,119.0,21.0
35.8388346032,128.6834518478,124.0,16.0
35.8385274186,128.6822603119,124.0,16.0
35.8378624333,128.6820516686,119.0,21.0
35.8378624333,128.6820516686,119.0,21.0
35.8378624333,128.6820516686,114.0,26.0
35.8369273543,128.6818629363,114.0,26.0
35.6830041955,128.4587113342,92.0,38.0
35.834156493,128.6872975288,124.0,16.0
35.8340676851,128.6882694804,124.0,16.0
35.8340676851,128.6882694804,120.0,20.0
35.8349499379,128.6902726024,119.0,21.0
35.8349499379,128.6902726024,120.0,20.0
35.8349499379,128.6902726024,119.0,21.0
35.8349499379,128.6902726024,120.0,20.0
35.8369485438,128.6878638496,114.0,26.0
35.8369485438,128.6878638496,114.0,26.0
35.8394744427,128.6877800189,114.0,26.0
35.8394744427,128.6877800189,114.0,26.0
35.8394744427,128.6877800189,114.0,26.0
35.8394744427,128.6877800189,114.0,26.0
35.8394744427,128.687752,114.0,26.0
35.8394744427,128.6877800189,124.0,16.0
35.8394744427,128.6877800189,124.0,16.0
35.686602,127.921201,122.0,48.0
35.686502,127.921254,140.0,30.0
35.686537,127.921168,122.0,48.0
35.686576,127.921286,140.0,30.0
35.8363430915,128.7038550651,72.0,28.0
35.8356335778,128.7033757627,64.0,36.0
35.8348814837,128.7054599666,64.0,36.0
35.8357803012,128.7007091094,72.0,28.0
35.833109,128.7044234332,72.0,28.0
35.83288,128.703762,77.0,23.0
35.8331769222,128.7044234332,77.0,23.0
35.8327042366,128.6951647464,124.0,16.0
35.8327042366,128.6951647464,124.0,16.0
35.834156493,128.6872975288,120.0,20.0
35.834156493,128.6872975288,120.0,20.0
36.8107263263,127.0632724526,30.0,30.0
36.8191879482,127.0633619515,30.0,30.0
36.8246493721,127.0587523143,30.0,30.0
36.8189994183,127.0536193008,30.0,30.0
36.8191879482,127.0633619515,30.0,30.0
35.8676310275,128.6226262373,152.0,28.0
37.59328821,127.1563475,130.0,19.0
36.29524717,126.9367774,74.0,26.0
36.27147692,126.9231434,25.0,25.0
36.27677832,126.9162471,97.0,34.0
36.1749757,126.9464602,25.0,25.0
36.09240001,128.3894788,133.0,17.0
36.09468466,128.3859667,97.0,23.0
36.09513889,128.3858135,133.0,17.0
36.09707837,128.3861833,97.0,23.0
36.09707837,128.3861833,133.0,17.0
37.72266336,126.7114864,110.0,30.0
36.10089943,128.3592417,106.0,24.0
36.10089943,128.3592417,106.0,24.0
36.10089943,128.3592712,106.0,24.0
36.10089943,128.3592712,97.0,23.0
36.09035909,128.3586668,106.0,24.0
36.09035909,128.3586838,133.0,17.0
36.13702623,128.4170073,97.0,23.0
36.13899694,128.4340394,143.0,17.0
36.138853,128.4385477,133.0,17.0
35.681892,127.918151,99.0,41.0
35.681818,127.918221,123.0,17.0
35.681841,127.918146,99.0,41.0
35.681875,127.918253,123.0,17.0
37.6320170211,127.1216240586,121.0,28.0
37.6320170211,127.1216240586,122.0,28.0
37.58697585,127.1400259,50.0,25.0
35.8408603861,128.6043198227,146.0,34.0
35.8408603861,128.6043198227,162.0,18.0
35.8396135123,128.6050941649,162.0,18.0
35.8415856474,128.603906673,162.0,18.0
35.8414037966,128.6045207958,162.0,18.0
36.26898002,126.9283226,74.0,46.0
36.31355181,126.8556279,38.0,26.0
36.12759871,126.8571938,43.0,17.0
37.89250775,127.202373,154.0,27.0
37.739367,127.114654,71.0,13.0
37.739419,127.115158,71.0,13.0
37.739419,127.115158,70.0,14.0
37.739442,127.115158,70.0,14.0
37.73900567,127.1160155,66.0,17.0
37.739283,127.115203,70.0,14.0
37.739283,127.115203,66.0,17.0
37.739282,127.115203,70.0,14.0
36.10089943,128.3592417,97.0,23.0
36.09845363,128.3587597,133.0,17.0
36.0987105,128.3587411,133.0,17.0
36.09878338,128.3587411,97.0,23.0
36.09876101,128.3587411,97.0,23.0
37.72266336,126.7114864,110.0,30.0
37.58684043,127.1352789,46.0,14.0
37.58656358,127.1346291,46.0,14.0
37.58990882,127.1481853,124.0,26.0
37.60994419,127.1321782,62.0,13.0
37.58990882,127.1481853,124.0,26.0
37.63722396,127.1214565,122.0,28.0
37.6372618,127.1214565,122.0,28.0
37.586655,127.1382846,52.0,23.0
35.8697675227,128.641534,96.0,44.0
35.8697675227,128.641534,96.0,44.0
37.63755697,127.1212712,122.0,28.0
37.63475985,127.1406365,151.0,28.0
37.58977319,127.1491711,130.0,20.0
37.58977319,127.1491711,130.0,20.0
37.60696676,127.1392173,120.0,30.0
37.60780939,127.1404976,22.0,13.0
37.60726291,127.1422569,22.0,13.0
37.62251446,127.1082818,138.0,12.0
37.6045543,127.1417371,80.0,20.0
37.6045543,127.1417371,80.0,20.0
37.610931,127.1338757,50.0,25.0
37.610931,127.1338757,50.0,25.0
37.61005195,127.1344684,50.0,25.0
36.28564019,126.9310373,93.0,27.0
36.28683983,126.9320132,93.0,27.0
36.2875316,126.9253841,41.0,19.0
37.58977319,127.1491711,125.0,25.0
37.63561433,127.119538,121.0,28.0
37.6347108157,127.1409284,152.0,27.0
37.6320170211,127.1216240586,122.0,28.0
37.63755697,127.1212712,122.0,28.0
35.8249532513,128.5067459532,129.0,31.0
37.60989009,127.1360786,69.0,21.0
35.8700124152,128.6403490365,96.0,44.0
35.8684142576,128.6391735486,96.0,44.0
35.8684142576,128.6391735486,96.0,44.0
35.8684142576,128.6391735486,96.0,44.0
35.8694378189,128.6416440449,96.0,44.0
35.869465,128.6416440449,96.0,44.0
35.869465,128.6416440449,96.0,44.0
37.6254645945,127.1120605011,122.0,27.0
37.61987988,127.1649463,104.0,24.0
37.61987988,127.1649463,104.0,24.0
37.61987988,127.1649463,104.0,24.0
37.66236623,127.1283798,74.0,29.0
37.66236623,127.1283798,74.0,29.0
37.65984733,127.1284182,85.0,25.0
37.65984733,127.1284182,85.0,25.0
37.65984733,127.1284182,85.0,25.0
37.66259585,127.1230317,74.0,29.0
37.66259585,127.1230317,74.0,29.0
37.66259585,127.1230317,74.0,29.0
37.66259585,127.1230317,74.0,29.0
37.66066185,127.1238133,72.0,32.0
37.66066185,127.1238133,72.0,32.0
37.66066185,127.1238133,72.0,32.0
37.66066185,127.1238133,72.0,32.0
36.8189994183,127.0536802,30.0,30.0
36.8189994183,127.0536193008,30.0,30.0
36.8189994183,127.0536193008,30.0,30.0
36.8189994183,127.0536193008,30.0,30.0
36.8189994183,127.0536789,30.0,30.0
36.81082606,127.0536321,30.0,30.0
36.8189994183,127.0536365,30.0,30.0
36.8189994183,127.0536193008,30.0,30.0
36.8189994183,127.0536193008,30.0,30.0
36.08592758,128.3570176,97.0,23.0
36.08592758,128.3570176,98.0,23.0
36.08592758,128.3570176,143.0,17.0
36.08592758,128.3570176,97.0,23.0
36.12506172,128.3315383,106.0,24.0
36.27799431,126.9141287,96.0,24.0
36.27258861,126.9046102,71.0,29.0
36.28342098,126.9164465,75.0,25.0
36.27341167,126.8710813,71.0,29.0
36.2630717,126.8471338,38.0,22.0
36.30029362,126.7058487,76.0,36.0
35.8402947167,128.710482,89.0,31.0
35.8416701815,128.711471869,89.0,31.0
35.8416701815,128.711471869,89.0,31.0
35.8416701815,128.711471869,89.0,31.0
35.8545093891,128.6213147066,140.0,60.0
35.8545093891,128.6213147066,150.0,50.0
35.8545093891,128.6213147066,150.0,50.0
35.8567682185,128.6229808495,150.0,50.0
35.8567682185,128.622913,150.0,50.0
35.8464832385,128.6239130039,148.0,52.0
35.845991,128.6240316497,177.0,23.0
35.8459511322,128.6240316497,177.0,23.0
35.8450828544,128.6248334124,173.0,27.0
35.844678997,128.6254903516,173.0,27.0
